cohort_month,sellers,pct_2nd_30d,pct_active_30_90,pct_5th
2016-09,3,66.7,33.3,100.0
2016-10,136,41.2,1.5,78.7
2016-12,1,100.0,100.0,100.0
2017-01,152,72.4,77.0,76.3
2017-02,228,63.2,68.9,68.4
2017-03,173,64.7,67.6,67.1
2017-04,116,51.7,69.0,67.2
2017-05,124,57.3,64.5,59.7
2017-06,76,46.1,53.9,57.9
2017-07,116,65.5,75.0,74.1
2017-08,129,53.5,65.1,67.4
2017-09,127,48.8,70.9,61.4
2017-10,147,60.5,72.8,69.4
2017-11,190,63.2,65.3,62.6
2017-12,90,56.7,65.6,60.0
2018-01,141,66.0,66.0,62.4
2018-02,120,55.0,63.3,58.3
2018-03,113,58.4,67.3,58.4
2018-04,202,64.4,65.8,57.4
2018-05,172,61.6,70.3,51.2
2018-06,18,72.2,61.1,38.9
